feature,importance
alcohol,0.28394379199993214
sulphates,0.15889220539695398
volatile acidity,0.11039323371052476
total sulfur dioxide,0.07773029285178279
chlorides,0.06718509599729024
pH,0.05770006963574943
residual sugar,0.051890008795427954
fixed acidity,0.05137700510202933
citric acid,0.04858699615771063
density,0.04721040930101557
free sulfur dioxide,0.045090891051583225
